https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BAT,Volume USD
1643281200000,2022-01-27 11:00:00,BAT/USD,0.80546,0.81866,0.80546,0.81862,635.433956,520.17894506072
1643277600000,2022-01-27 10:00:00,BAT/USD,0.81849,0.82096,0.80546,0.80546,3391.901753,2732.04118597138
1643274000000,2022-01-27 09:00:00,BAT/USD,0.80574,0.82139,0.80574,0.81849,228.643856,187.14270969744
1643270400000,2022-01-27 08:00:00,BAT/USD,0.79688,0.80574,0.79103,0.80574,413.979962,333.56021458188
1643266800000,2022-01-27 07:00:00,BAT/USD,0.79119,0.79947,0.78904,0.79688,1245.857871,992.79922024248
1643263200000,2022-01-27 06:00:00,BAT/USD,0.78667,0.79119,0.78105,0.79119,211.980813,167.71709943747
1643259600000,2022-01-27 05:00:00,BAT/USD,0.79039,0.79039,0.78341,0.78667,133.009139,104.63429937713
1643256000000,2022-01-27 04:00:00,BAT/USD,0.78362,0.79165,0.78081,0.79039,12790.210077,10109.25414276003
1643252400000,2022-01-27 03:00:00,BAT/USD,0.77862,0.78999,0.77862,0.78362,3667.398679,2873.8469528379796
1643248800000,2022-01-27 02:00:00,BAT/USD,0.78717,0.78717,0.77,0.77862,7750.862686,6034.97670457332
1643245200000,2022-01-27 01:00:00,BAT/USD,0.82601,0.82601,0.78717,0.78717,2427.673143,1910.9914679753101
1643241600000,2022-01-27 00:00:00,BAT/USD,0.81186,0.82677,0.8039,0.82601,7499.563916,6194.714790255161
1643238000000,2022-01-26 23:00:00,BAT/USD,0.79804,0.81467,0.79387,0.81186,2921.794786,2372.08831496196
1643234400000,2022-01-26 22:00:00,BAT/USD,0.786,0.79953,0.78336,0.79804,3512.928476,2803.4574409870397
1643230800000,2022-01-26 21:00:00,BAT/USD,0.80555,0.81352,0.786,0.786,33771.650422,26544.517231692
1643227200000,2022-01-26 20:00:00,BAT/USD,0.83502,0.83502,0.8,0.80555,26824.367396,21608.369155847802
