https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume YFI,Volume USD
1604908800000,2020-11-09 08:00:00,YFI/USD,14390.52,14390.52,14058.85,14356.31,0.43202714,6202.315550253399
1604905200000,2020-11-09 07:00:00,YFI/USD,14469.55,14715.46,14390.52,14390.52,0.060281,867.47493612
1604901600000,2020-11-09 06:00:00,YFI/USD,14786.58,14786.58,14469.55,14469.55,0.00686275,99.3009042625
1604898000000,2020-11-09 05:00:00,YFI/USD,14410.84,14786.58,14200.0,14786.58,1.214503,17958.34576974
1604894400000,2020-11-09 04:00:00,YFI/USD,14537.0,14537.0,14150.0,14410.84,1.65023944,23781.3365315296
1604890800000,2020-11-09 03:00:00,YFI/USD,14726.53,14726.53,14454.04,14537.0,0.6631421,9640.096707699999
1604887200000,2020-11-09 02:00:00,YFI/USD,14875.0,14925.48,14726.53,14726.53,0.618226,9104.32373578
1604883600000,2020-11-09 01:00:00,YFI/USD,15034.99,15034.99,14828.0,14875.0,0.276479,4112.625125
1604880000000,2020-11-09 00:00:00,YFI/USD,15183.33,15234.99,15034.99,15034.99,0.151074,2271.39607926
1604876400000,2020-11-08 23:00:00,YFI/USD,15197.94,15348.34,15028.69,15183.33,0.47253314,7174.6266005562
1604872800000,2020-11-08 22:00:00,YFI/USD,14824.45,15266.44,14824.45,15197.94,0.419647,6377.76992718
1604869200000,2020-11-08 21:00:00,YFI/USD,15166.83,15195.37,14629.12,14824.45,0.408742,6059.3753419
1604865600000,2020-11-08 20:00:00,YFI/USD,15000.0,15305.29,15000.0,15166.83,0.90446,13717.7910618
1604862000000,2020-11-08 19:00:00,YFI/USD,15534.03,15655.68,15000.0,15000.0,1.03867,15580.05
1604858400000,2020-11-08 18:00:00,YFI/USD,15742.08,15892.43,15304.67,15534.03,0.954768,14831.39475504
1604854800000,2020-11-08 17:00:00,YFI/USD,15194.56,15770.35,15155.16,15742.08,1.34525259,21177.073891987202
1604851200000,2020-11-08 16:00:00,YFI/USD,15059.06,15194.56,14774.01,15194.56,0.76935535,11690.016026895999
1604847600000,2020-11-08 15:00:00,YFI/USD,15240.0,15240.0,15054.66,15059.06,0.439356,6616.28836536
1604844000000,2020-11-08 14:00:00,YFI/USD,14602.88,15284.81,14602.88,15240.0,2.073823,31605.06252
1604840400000,2020-11-08 13:00:00,YFI/USD,15126.43,15126.43,14451.0,14602.88,2.516415,36746.906275199995
1604836800000,2020-11-08 12:00:00,YFI/USD,15342.01,15456.4,14761.27,15126.43,1.077573,16299.83255439
1604833200000,2020-11-08 11:00:00,YFI/USD,15323.51,15580.13,15187.18,15342.01,1.25684001,19282.4520018201
1604829600000,2020-11-08 10:00:00,YFI/USD,14214.86,15400.0,14214.86,15323.51,1.87415,28718.5562665
1604826000000,2020-11-08 09:00:00,YFI/USD,13885.89,14246.56,13885.89,14214.86,0.386655,5496.2466933000005
1604822400000,2020-11-08 08:00:00,YFI/USD,13788.96,14030.12,13788.96,13885.89,2.366828,32865.51325692
1604818800000,2020-11-08 07:00:00,YFI/USD,13961.65,13961.65,13757.0,13788.96,0.174829,2410.71008784
1604815200000,2020-11-08 06:00:00,YFI/USD,14191.29,14427.96,13961.65,13961.65,2.373713,33140.95010645
1604811600000,2020-11-08 05:00:00,YFI/USD,13721.15,14191.29,13721.15,14191.29,1.0456027,14838.451140483003
1604808000000,2020-11-08 04:00:00,YFI/USD,13662.91,13948.73,13630.14,13721.15,2.677705,36741.19196075
1604804400000,2020-11-08 03:00:00,YFI/USD,13948.45,13948.45,13589.22,13662.91,2.245771,30683.767053609998
1604800800000,2020-11-08 02:00:00,YFI/USD,13715.95,14142.64,13715.95,13948.45,3.640556,50780.113338200004
1604797200000,2020-11-08 01:00:00,YFI/USD,14011.75,14011.75,13477.78,13715.95,0.681333,9345.12936135
1604793600000,2020-11-08 00:00:00,YFI/USD,14306.01,14306.01,13593.88,14011.75,2.103882,29479.0686135
1604790000000,2020-11-07 23:00:00,YFI/USD,13725.0,14336.25,13604.46,14306.01,8.30379367,118794.1552809567
1604786400000,2020-11-07 22:00:00,YFI/USD,13528.98,13799.11,13211.35,13725.0,3.222539,44229.347774999995
1604782800000,2020-11-07 21:00:00,YFI/USD,13887.46,13887.46,13150.0,13528.98,1.887171,25531.498715579997
1604779200000,2020-11-07 20:00:00,YFI/USD,13357.31,14155.41,12824.75,13887.46,4.80312918,66703.2643620828
1604775600000,2020-11-07 19:00:00,YFI/USD,12729.23,13411.27,12547.68,13357.31,3.7554207,50162.318470317
1604772000000,2020-11-07 18:00:00,YFI/USD,14481.98,14827.13,12111.13,12729.23,13.55975639,172605.2578322797
1604768400000,2020-11-07 17:00:00,YFI/USD,15203.68,15320.97,14481.98,14481.98,1.83469814,26570.0617695172
1604764800000,2020-11-07 16:00:00,YFI/USD,14668.43,15455.56,14146.37,15203.68,6.018395,91501.7516936
1604761200000,2020-11-07 15:00:00,YFI/USD,14114.9,14906.29,13803.34,14668.43,2.62273393,38471.3890608299
1604757600000,2020-11-07 14:00:00,YFI/USD,15689.06,15689.06,14003.73,14114.9,13.026798,183871.9510902
1604754000000,2020-11-07 13:00:00,YFI/USD,16345.63,16345.63,15231.77,15689.06,6.767319,106172.87383013999
1604750400000,2020-11-07 12:00:00,YFI/USD,16212.42,16503.23,15889.08,16345.63,6.6104,108051.152552
1604746800000,2020-11-07 11:00:00,YFI/USD,15678.86,16500.0,15678.86,16212.42,5.737529,93019.22991018
1604743200000,2020-11-07 10:00:00,YFI/USD,15499.0,15828.09,15277.8,15678.86,2.537536,39785.67168896
1604739600000,2020-11-07 09:00:00,YFI/USD,15270.56,16281.83,15248.39,15499.0,7.700696,119353.087304
1604736000000,2020-11-07 08:00:00,YFI/USD,14616.64,15397.99,14604.06,15270.56,0.480345,7335.1371432000005
1604732400000,2020-11-07 07:00:00,YFI/USD,14660.69,14781.65,14430.41,14616.64,0.938963,13724.484144319998
1604728800000,2020-11-07 06:00:00,YFI/USD,14795.97,14981.13,14414.58,14660.69,1.51888908,22267.9619462652
1604725200000,2020-11-07 05:00:00,YFI/USD,14253.72,14860.8,14060.0,14795.97,5.003362,74029.59405114
1604721600000,2020-11-07 04:00:00,YFI/USD,14023.69,14520.87,13814.01,14253.72,4.74209265,67592.460847158
1604718000000,2020-11-07 03:00:00,YFI/USD,13900.0,14265.72,13677.8,14023.69,11.82169051,165783.7229881819
1604714400000,2020-11-07 02:00:00,YFI/USD,14541.35,14884.66,13900.0,13900.0,20.640123,286897.7097
1604710800000,2020-11-07 01:00:00,YFI/USD,13842.75,17430.58,13785.94,14541.35,52.80190064,767810.917871464
1604707200000,2020-11-07 00:00:00,YFI/USD,11752.06,13901.51,11752.06,13842.75,18.3547549,254080.28339197498
1604703600000,2020-11-06 23:00:00,YFI/USD,11750.62,11943.2,11702.1,11752.06,4.138902,48640.624638119996
1604700000000,2020-11-06 22:00:00,YFI/USD,11050.55,11841.47,10905.7,11750.62,2.37050892,27854.9495255304
1604696400000,2020-11-06 21:00:00,YFI/USD,11181.01,11201.66,11019.31,11050.55,8.556052,94549.08042859999
1604692800000,2020-11-06 20:00:00,YFI/USD,10961.93,11199.32,10620.87,11181.01,6.07032484,67872.3627392884
