https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LINK,Volume USD
1687510800000,2023-06-23 09:00:00,LINK/USD,5.89795,5.90975,5.84224,5.84233,227.827278,1331.0421410777399
1687507200000,2023-06-23 08:00:00,LINK/USD,5.82866,5.90467,5.8255,5.89795,136.712602,806.3240909659
1687503600000,2023-06-23 07:00:00,LINK/USD,5.74937,5.82866,5.73839,5.82866,1142.162754,6657.2783577296395
1687500000000,2023-06-23 06:00:00,LINK/USD,5.71804,5.778,5.70157,5.74937,1759.471794,10115.85434826978
1687496400000,2023-06-23 05:00:00,LINK/USD,5.65584,5.71965,5.65086,5.71804,172.259361,984.9859165724401
1687492800000,2023-06-23 04:00:00,LINK/USD,5.6442,5.65872,5.63454,5.65584,29.846077,168.80463613968
1687489200000,2023-06-23 03:00:00,LINK/USD,5.61265,5.6442,5.6122,5.6442,230.074613,1298.5871306945999
1687485600000,2023-06-23 02:00:00,LINK/USD,5.61065,5.61666,5.56501,5.61265,549.990117,3086.9020301800506
1687482000000,2023-06-23 01:00:00,LINK/USD,5.58787,5.61065,5.58787,5.61065,4.394711,24.65718527215
1687478400000,2023-06-23 00:00:00,LINK/USD,5.565,5.60864,5.565,5.58787,867.481164,4847.37197188068
1687474800000,2023-06-22 23:00:00,LINK/USD,5.5577,5.58461,5.5577,5.565,97.451919,542.319929235
1687471200000,2023-06-22 22:00:00,LINK/USD,5.58656,5.61652,5.55608,5.5577,1634.152579,9082.129788308299
1687467600000,2023-06-22 21:00:00,LINK/USD,5.61403,5.6173,5.57882,5.58656,421.186548,2352.9839215948805
1687464000000,2023-06-22 20:00:00,LINK/USD,5.61689,5.6359,5.59539,5.61403,331.921085,1863.4149288225499
1687460400000,2023-06-22 19:00:00,LINK/USD,5.59937,5.61689,5.59937,5.61689,84.429237,474.22973701293
1687456800000,2023-06-22 18:00:00,LINK/USD,5.62973,5.63058,5.58555,5.59937,76.657881,429.23583913497004
1687453200000,2023-06-22 17:00:00,LINK/USD,5.5621,5.62973,5.56207,5.62973,157.506123,886.71694583679
1687449600000,2023-06-22 16:00:00,LINK/USD,5.55874,5.60933,5.55874,5.5621,53.277089,296.3324967269
1687446000000,2023-06-22 15:00:00,LINK/USD,5.54966,5.59217,5.5,5.55874,5317.186129,29556.85522271746
1687442400000,2023-06-22 14:00:00,LINK/USD,5.67005,5.67234,5.52674,5.54966,2456.128111,13630.67593249226
1687438800000,2023-06-22 13:00:00,LINK/USD,5.70882,5.76981,5.66925,5.67005,1112.097216,6305.646819580799
1687435200000,2023-06-22 12:00:00,LINK/USD,5.64587,5.77708,5.6402,5.70882,1495.008339,8534.73350584998
1687431600000,2023-06-22 11:00:00,LINK/USD,5.75,5.79498,5.62,5.64587,135.757839,766.47111047493
1687428000000,2023-06-22 10:00:00,LINK/USD,5.74943,5.7882,5.74607,5.75,1234.022848,7095.631376
1687424400000,2023-06-22 09:00:00,LINK/USD,5.75272,5.75741,5.74493,5.74943,50.142706,288.29197815758
1687420800000,2023-06-22 08:00:00,LINK/USD,5.76689,5.76946,5.74375,5.75272,145.403995,836.4684701164001
1687417200000,2023-06-22 07:00:00,LINK/USD,5.72187,5.76689,5.70787,5.76689,49.844462,287.44752946318
1687413600000,2023-06-22 06:00:00,LINK/USD,5.73761,5.73761,5.70501,5.72187,168.952298,966.7230853572601
1687410000000,2023-06-22 05:00:00,LINK/USD,5.75899,5.77991,5.73761,5.73761,382.019933,2191.88138778013
1687406400000,2023-06-22 04:00:00,LINK/USD,5.77006,5.77096,5.73969,5.75899,16.272974,93.71589453626001
1687402800000,2023-06-22 03:00:00,LINK/USD,5.78345,5.81271,5.76774,5.77006,1549.037116,8938.03710154696
1687399200000,2023-06-22 02:00:00,LINK/USD,5.7085,5.79638,5.6979,5.78345,750.864399,4342.58670839655
1687395600000,2023-06-22 01:00:00,LINK/USD,5.63056,5.7085,5.63056,5.7085,1057.318942,6035.705180407001
1687392000000,2023-06-22 00:00:00,LINK/USD,5.54515,5.64592,5.53211,5.63056,4187.470157,23577.80196719792
1687388400000,2023-06-21 23:00:00,LINK/USD,5.54953,5.58526,5.5002,5.54515,1084.215466,6012.1373912899
1687384800000,2023-06-21 22:00:00,LINK/USD,5.52144,5.54953,5.51129,5.54953,1477.220242,8197.878049586261
1687381200000,2023-06-21 21:00:00,LINK/USD,5.53606,5.54422,5.5053,5.52144,420.820592,2323.53564949248
1687377600000,2023-06-21 20:00:00,LINK/USD,5.50636,5.54642,5.50636,5.53606,1403.857221,7771.83780688926
1687374000000,2023-06-21 19:00:00,LINK/USD,5.50181,5.5203,5.47001,5.50636,654.264426,3602.6154647493595
1687370400000,2023-06-21 18:00:00,LINK/USD,5.49376,5.53772,5.48293,5.50181,64.066232,352.48023587992
1687366800000,2023-06-21 17:00:00,LINK/USD,5.49583,5.528,5.45232,5.49376,3355.313915,18433.289373670403
1687363200000,2023-06-21 16:00:00,LINK/USD,5.46078,5.56456,5.44337,5.49583,21631.682281,118884.04843038823
1687359600000,2023-06-21 15:00:00,LINK/USD,5.45734,5.49004,5.44196,5.46078,2773.733472,15146.74826922816
1687356000000,2023-06-21 14:00:00,LINK/USD,5.40244,5.46701,5.35393,5.45734,4094.787709,22346.648755834063
1687352400000,2023-06-21 13:00:00,LINK/USD,5.34362,5.40244,5.34312,5.40244,1891.843399,10220.57045249356
1687348800000,2023-06-21 12:00:00,LINK/USD,5.37294,5.40245,5.34362,5.34362,850.888426,4546.824410942119
1687345200000,2023-06-21 11:00:00,LINK/USD,5.33841,5.39196,5.33749,5.37294,1.627385,8.7438419619
